Date,orders,Net Sales
11/29/2020,26,1063.63
11/30/2020,21,1044.23
12/1/2020,29,931.07
12/2/2020,19,850.11
12/3/2020,14,750.97
12/4/2020,10,713.81
12/5/2020,20,699.67
12/6/2020,12,664.95
12/7/2020,13,644.94
12/8/2020,11,636.44
12/9/2020,16,608.37
12/10/2020,11,607.98
12/11/2020,16,602.3
12/12/2020,10,572.82
12/13/2020,11,560.62
12/14/2020,12,557.5
12/15/2020,16,548.45
12/16/2020,17,543.6
12/17/2020,10,520.8
12/18/2020,11,517.2
12/19/2020,9,513.26
12/20/2020,11,509.21
12/21/2020,14,508.4
12/22/2020,13,503.36
12/23/2020,11,499.44
12/24/2020,14,482.09
12/25/2020,10,482
12/26/2020,12,478.47
12/27/2020,12,474.6
12/28/2020,13,464.63
12/29/2020,13,464.4
12/30/2020,11,449.59
12/31/2020,11,439.85
1/1/2021,14,439.4
1/2/2021,12,437.5
1/3/2021,8,435.76
1/4/2021,12,426.8
1/5/2021,16,423.88
1/6/2021,11,423.21
1/7/2021,14,396.64
1/8/2021,13,392.01
1/9/2021,10,390.25
1/10/2021,10,387.8
1/11/2021,9,387.35
1/12/2021,11,377.88
1/13/2021,10,367.56
1/14/2021,16,367.55
1/15/2021,8,365.99
1/16/2021,10,363.78
1/17/2021,10,363.28
1/18/2021,5,360.03
1/19/2021,7,359.21
1/20/2021,9,354.36
1/21/2021,7,352.42
1/22/2021,11,352.26
1/23/2021,10,351.98
1/24/2021,9,351.97
1/25/2021,8,347.63
1/26/2021,10,343.19
1/27/2021,10,338.6
1/28/2021,6,332.89
1/29/2021,11,331.39
1/30/2021,10,329.57
1/31/2021,8,327.69
2/1/2021,11,323.32
2/2/2021,7,322.8
2/3/2021,6,319.64
2/4/2021,5,317.83
2/5/2021,2,295.82
2/6/2021,4,294.37
2/7/2021,8,287.42
2/8/2021,9,285.61
2/9/2021,7,284
2/10/2021,9,282.92
2/11/2021,5,281.92
2/12/2021,6,273.05
2/13/2021,7,271.25
2/14/2021,7,270.7
2/15/2021,7,261.35
2/16/2021,7,257.93
2/17/2021,3,257.88
2/18/2021,8,257.39
2/19/2021,6,256.47
2/20/2021,6,254.67
2/21/2021,6,250.96
2/22/2021,5,239.3
2/23/2021,6,237.49
2/24/2021,8,237.08
2/25/2021,9,236.96
2/26/2021,5,235.47
2/27/2021,6,233.1
2/28/2021,4,232.01
3/1/2021,6,231.71
3/2/2021,5,231.39
3/3/2021,7,229.98
3/4/2021,4,226.15
3/5/2021,8,225.85
3/6/2021,7,225.64
3/7/2021,5,224.88
3/8/2021,6,224.29
3/9/2021,5,224.26
3/10/2021,4,220.82
3/11/2021,6,220.1
3/12/2021,4,217.3
3/13/2021,6,217.19
3/14/2021,4,215.99
3/15/2021,7,210.91
3/16/2021,4,208.63
3/17/2021,6,208.6
3/18/2021,5,208.42
3/19/2021,6,206.48
3/20/2021,5,206.17
3/21/2021,6,201.77
3/22/2021,5,199.99
3/23/2021,6,197.33
3/24/2021,3,194.12
3/25/2021,6,192.12
3/26/2021,4,191.72
3/27/2021,7,190.24
3/28/2021,6,189.88
3/29/2021,5,189.29
3/30/2021,6,187.13
3/31/2021,6,186.41
4/1/2021,6,185.82
4/2/2021,5,179
4/3/2021,5,175.15
4/4/2021,4,174.36
4/5/2021,6,173.13
4/6/2021,4,172.74
4/7/2021,3,172.66
4/8/2021,7,172.56
4/9/2021,4,171.29
4/10/2021,7,170.34
4/11/2021,5,169.15
4/12/2021,6,168.93
4/13/2021,7,168.63
4/14/2021,6,168.09
4/15/2021,4,167.03
4/16/2021,3,165.49
4/17/2021,2,164.77
4/18/2021,5,161.82
4/19/2021,9,155.72
4/20/2021,6,153.72
4/21/2021,6,151.06
4/22/2021,1,151.02
4/23/2021,4,148.54
4/24/2021,4,148.46
4/25/2021,3,147.83
4/26/2021,3,145.98
4/27/2021,4,145.67
4/28/2021,4,144.88
4/29/2021,7,144.2
4/30/2021,3,142.88
5/1/2021,5,142.06
5/2/2021,4,139.1
5/3/2021,5,136.26
5/4/2021,3,133.96
5/5/2021,4,133.82
5/6/2021,4,133.82
5/7/2021,3,130.93
5/8/2021,3,129.6
5/9/2021,5,129.42
5/10/2021,4,126.65
5/11/2021,3,126.64
5/12/2021,5,126.24
5/13/2021,3,126.14
5/14/2021,4,125.02
5/15/2021,5,122.86
5/16/2021,4,121.16
5/17/2021,3,120.77
5/18/2021,3,119.63
5/19/2021,3,119.33
5/20/2021,4,115.83
5/21/2021,1,113.8
5/22/2021,4,112.21
5/23/2021,3,109.3
5/24/2021,5,108.41
5/25/2021,5,107.37
5/26/2021,2,102.8
5/27/2021,6,100.92
5/28/2021,4,100.26
5/29/2021,3,99.43
5/30/2021,3,98.75
5/31/2021,2,97.23
6/1/2021,2,94.54
6/2/2021,3,94.04
6/3/2021,2,92.5
6/4/2021,4,92.11
6/5/2021,4,91.67
6/6/2021,4,90.82
6/7/2021,2,90.54
6/8/2021,2,90
6/9/2021,3,88.04
6/10/2021,3,87.99
6/11/2021,4,85.92
6/12/2021,2,85.46
6/13/2021,1,85.39
6/14/2021,2,75.27
6/15/2021,2,74.94
6/16/2021,3,74.91
6/17/2021,3,74.61
6/18/2021,2,71.63
6/19/2021,3,69.96
6/20/2021,2,62.93
6/21/2021,2,57.37
6/22/2021,1,56.79
6/23/2021,3,56.22
6/24/2021,2,54.23
6/25/2021,1,45.24
6/26/2021,2,44.31
6/27/2021,2,42.97
6/28/2021,2,41.41
6/29/2021,2,40.74
6/30/2021,1,39
7/1/2021,8,38.65
7/2/2021,2,34.77
7/3/2021,1,29.06
7/4/2021,1,25.29
7/5/2021,6,19.47
7/6/2021,1,15.35
7/7/2021,1,13.8
7/8/2021,1,10
7/9/2021,3,3.59
7/10/2021,0,0
7/11/2021,0,0
7/12/2021,0,0
7/13/2021,0,0
7/14/2021,0,0
7/15/2021,0,0
7/16/2021,0,0
7/17/2021,0,0
7/18/2021,0,0
7/19/2021,0,0
7/20/2021,0,0
7/21/2021,0,0
7/22/2021,0,0
7/23/2021,0,0
7/24/2021,0,0
7/25/2021,0,0
7/26/2021,0,0
7/27/2021,0,0
7/28/2021,0,0
7/29/2021,0,0
7/30/2021,0,0
7/31/2021,0,0
8/1/2021,0,0
8/2/2021,0,0
8/3/2021,0,0
8/4/2021,0,0
8/5/2021,0,0
8/6/2021,0,0
8/7/2021,0,0
8/8/2021,0,0
8/9/2021,0,0
8/10/2021,0,0
8/11/2021,0,0
8/12/2021,0,0
8/13/2021,0,0
8/14/2021,0,0
8/15/2021,0,0
8/16/2021,0,0
8/17/2021,0,0
8/18/2021,0,0
8/19/2021,0,0
8/20/2021,0,0
8/21/2021,0,0
8/22/2021,0,0
8/23/2021,0,0
8/24/2021,0,0
8/25/2021,0,0
8/26/2021,0,0
8/27/2021,0,0
8/28/2021,0,0
8/29/2021,0,0
8/30/2021,0,0
8/31/2021,0,0
9/1/2021,0,0
9/2/2021,0,0
9/3/2021,0,0
9/4/2021,0,0
9/5/2021,0,0
9/6/2021,0,0
9/7/2021,0,0
9/8/2021,0,0
9/9/2021,0,0
9/10/2021,0,0
9/11/2021,0,0
9/12/2021,0,0
9/13/2021,0,0
9/14/2021,0,0
9/15/2021,0,0
9/16/2021,0,0
9/17/2021,0,0
9/18/2021,0,0
9/19/2021,0,0
9/20/2021,0,0
9/21/2021,0,0
9/22/2021,0,0
9/23/2021,0,0
9/24/2021,0,0
9/25/2021,0,0
9/26/2021,0,0
9/27/2021,0,0
9/28/2021,0,0
9/29/2021,0,0
9/30/2021,0,0
10/1/2021,0,0
10/2/2021,0,0
10/3/2021,0,0
10/4/2021,0,0
10/5/2021,0,0
10/6/2021,0,0
10/7/2021,0,0
10/8/2021,0,0
10/9/2021,0,0
10/10/2021,0,0
10/11/2021,0,0
10/12/2021,0,0
10/13/2021,0,0
10/14/2021,0,0
10/15/2021,0,0
10/16/2021,0,0
10/17/2021,0,0
10/18/2021,0,0
10/19/2021,0,0
10/20/2021,0,0
10/21/2021,0,0
10/22/2021,0,0
10/23/2021,0,0
10/24/2021,0,0
10/25/2021,0,0
10/26/2021,0,0
10/27/2021,0,0
10/28/2021,0,0
10/29/2021,0,0
10/30/2021,0,0
10/31/2021,0,0
11/1/2021,0,0
11/2/2021,0,0
11/3/2021,0,0
11/4/2021,0,0
11/5/2021,0,0
11/6/2021,0,0
11/7/2021,0,0
11/8/2021,0,0
11/9/2021,0,0
11/10/2021,0,0
11/11/2021,0,0
11/12/2021,0,0
11/13/2021,0,0
11/14/2021,0,0
11/15/2021,0,0
11/16/2021,0,0
11/17/2021,0,0
11/18/2021,0,0
11/19/2021,0,0
11/20/2021,0,0
11/21/2021,0,0
11/22/2021,0,0
11/23/2021,0,0
11/24/2021,0,0
11/25/2021,0,0
11/26/2021,0,0
11/27/2021,0,0
11/28/2021,0,0
11/29/2021,0,0
11/30/2021,0,0
12/1/2021,0,0
12/2/2021,0,0
12/3/2021,0,0
12/4/2021,0,0
12/5/2021,0,0
12/6/2021,0,0
12/7/2021,0,0
12/8/2021,0,0
12/9/2021,0,0
12/10/2021,0,0
12/11/2021,0,0
12/12/2021,0,0
12/13/2021,0,0
12/14/2021,0,0
12/15/2021,0,0
12/16/2021,0,0
12/17/2021,0,0
12/18/2021,0,0
12/19/2021,0,0
12/20/2021,0,0
12/21/2021,0,0
12/22/2021,0,0
12/23/2021,0,0
12/24/2021,0,0
12/25/2021,0,0
12/26/2021,0,0
12/27/2021,0,0
